respondent_id,year,age,gender,ses,AC1_commitment,AC2_check_expected5,AC3_check_expected1,FS1,EC2,PT3,EC4,FS5,PD6,FS7,PT8,EC9,PD10,PT11,FS12,PD13,EC14,PT15,FS16,PD17,EC18,PD19,EC20,PT21,EC22,FS23,PD24,PT25,FS26,PD27,PT28,FS_mean,PT_mean,EC_mean,PD_mean,IRI_total,attention_fail_count,included_after_qc,cluster
17,2023,23.0,Hombre,2.0,,,,1,2,5,5,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,5,5,4,4,4,4,4,3.4285714285714284,3.857142857142857,3.4285714285714284,3.2857142857142856,3.5,0,True,2
18,2023,18.0,Mujer,1.0,,,,2,1,4,5,2,2,4,3,1,1,2,4,4,3,5,1,2,5,5,1,2,1,1,1,3,1,1,2,2.142857142857143,3.0,2.4285714285714284,2.2857142857142856,2.4642857142857144,0,True,1
19,2023,18.0,Mujer,1.0,,,,4,4,4,3,4,3,2,4,4,2,4,4,2,4,4,2,2,4,2,2,4,3,4,2,3,4,3,3,3.4285714285714284,3.7142857142857135,3.4285714285714284,2.2857142857142856,3.2142857142857144,0,True,1
20,2023,24.0,Mujer,2.0,,,,5,5,4,4,5,5,3,4,4,4,5,5,3,5,2,1,4,5,3,4,4,5,1,3,1,3,2,5,3.2857142857142856,3.571428571428572,4.571428571428571,3.4285714285714284,3.7142857142857135,0,True,2
21,2023,18.0,Hombre,2.0,,,,4,3,4,4,4,3,4,3,3,3,3,5,3,4,4,4,4,4,3,4,3,4,4,3,3,4,2,3,4.142857142857143,3.2857142857142856,3.7142857142857135,3.0,3.5357142857142856,0,True,2
22,2023,18.0,Hombre,2.0,,,,4,3,4,4,3,3,4,4,5,3,5,4,4,4,1,4,1,5,2,3,5,5,5,1,4,4,1,4,4.0,3.857142857142857,4.142857142857143,2.142857142857143,3.5357142857142856,0,True,2
23,2023,24.0,Hombre,2.0,,,,4,3,3,4,4,3,2,4,3,2,4,4,3,3,3,2,2,4,3,3,4,3,4,3,2,4,3,3,3.4285714285714284,3.2857142857142856,3.2857142857142856,2.7142857142857144,3.178571428571429,0,True,2
24,2023,26.0,Hombre,3.0,,,,3,3,4,3,3,2,3,4,3,2,3,3,2,3,3,1,3,4,2,2,3,3,4,2,3,2,1,4,2.7142857142857144,3.4285714285714284,3.0,2.0,2.7857142857142856,0,True,1
25,2023,20.0,Hombre,2.0,,,,3,2,3,3,3,3,2,3,2,2,2,4,2,4,1,3,4,4,1,3,2,2,3,2,2,4,1,2,3.142857142857143,2.142857142857143,2.857142857142857,2.142857142857143,2.571428571428571,0,True,1
26,2023,23.0,Hombre,0.0,,,,5,5,5,5,5,1,5,5,3,1,5,5,1,5,5,1,1,5,1,5,5,3,5,1,5,5,1,5,4.428571428571429,5.0,4.428571428571429,1.0,3.7142857142857135,0,True,2
27,2023,20.0,Hombre,1.0,,,,3,3,3,3,3,2,4,3,4,3,3,5,3,5,2,2,2,5,4,3,3,3,2,1,3,3,1,5,3.142857142857143,3.142857142857143,3.7142857142857135,2.2857142857142856,3.071428571428571,0,True,1
28,2023,18.0,Mujer,2.0,,,,3,2,3,3,3,3,4,3,3,3,2,5,4,3,2,1,4,5,4,1,3,4,4,2,2,4,2,1,3.4285714285714284,2.2857142857142856,3.0,3.142857142857143,2.964285714285714,0,True,2
29,2023,18.0,Hombre,2.0,,,,4,3,5,4,4,1,3,5,4,1,5,2,1,4,5,3,2,3,1,1,4,4,2,1,3,5,1,4,3.2857142857142856,4.428571428571429,3.2857142857142856,1.1428571428571428,3.0357142857142856,0,True,2
30,2023,18.0,Mujer,1.0,,,,4,5,4,4,2,3,3,3,4,3,4,4,3,4,3,3,3,4,2,3,4,3,3,2,4,4,2,3,3.2857142857142856,3.571428571428572,3.857142857142857,2.571428571428572,3.321428571428572,0,True,2
31,2023,23.0,Hombre,2.0,,,,5,4,3,4,3,2,2,3,4,2,4,4,1,4,3,4,3,4,2,3,3,4,4,1,3,4,2,4,3.7142857142857135,3.2857142857142856,3.857142857142857,1.8571428571428568,3.178571428571429,0,True,2
32,2023,18.0,Hombre,2.0,,,,4,2,4,2,1,3,2,5,3,2,4,2,3,3,4,2,3,4,3,3,4,3,2,2,3,2,2,4,2.142857142857143,4.0,2.857142857142857,2.571428571428572,2.892857142857143,0,True,1
33,2023,19.0,Mujer,1.0,,,,4,2,5,4,4,2,5,3,1,4,2,5,5,4,5,1,4,5,3,4,2,4,2,1,2,1,1,5,3.142857142857143,3.4285714285714284,3.4285714285714284,2.857142857142857,3.2142857142857144,0,True,2
34,2023,18.0,NR,4.0,,,,4,3,4,5,5,3,2,5,3,4,4,5,3,3,4,4,4,4,3,4,4,5,4,3,2,2,2,4,3.7142857142857135,3.857142857142857,3.857142857142857,3.142857142857143,3.642857142857143,0,True,2
35,2023,18.0,Mujer,4.0,,,,2,4,4,4,2,2,4,5,4,2,5,3,3,5,5,2,2,4,2,3,5,4,3,2,4,2,2,4,2.571428571428572,4.571428571428571,4.0,2.142857142857143,3.321428571428571,0,True,2
36,2023,19.0,Mujer,1.0,,,,5,2,4,2,5,1,4,5,3,2,5,5,1,5,4,1,3,2,2,1,3,4,2,1,5,5,1,3,3.857142857142857,4.142857142857143,2.7142857142857144,1.5714285714285714,3.071428571428572,0,True,1
37,2023,18.0,Mujer,1.0,,,,4,3,4,5,1,3,2,4,3,4,4,5,3,4,3,1,3,5,2,4,4,3,1,2,1,3,1,4,2.4285714285714284,3.4285714285714284,3.857142857142857,2.571428571428572,3.071428571428571,0,True,1
38,2023,20.0,Mujer,1.0,,,,4,3,5,4,4,4,4,4,2,2,5,5,2,4,5,4,3,5,4,2,5,4,4,2,4,4,2,5,4.142857142857143,4.714285714285714,3.4285714285714284,2.7142857142857144,3.75,0,True,2
39,2023,18.0,Hombre,2.0,,,,2,4,4,4,3,2,3,5,3,1,3,2,3,3,2,4,1,5,1,2,4,2,3,1,4,2,2,4,2.7142857142857144,3.7142857142857135,3.2857142857142856,1.5714285714285714,2.821428571428572,0,True,1
40,2023,18.0,Mujer,3.0,,,,5,5,5,5,5,3,3,5,4,3,5,3,4,5,1,5,3,5,4,5,3,5,3,3,4,4,3,5,4.0,4.0,4.857142857142857,3.2857142857142856,4.035714285714286,0,True,2
41,2023,18.0,Hombre,2.0,,,,2,3,4,4,1,1,1,3,3,1,2,3,2,4,2,2,1,4,2,1,4,1,3,1,2,2,2,2,2.0,2.7142857142857144,2.857142857142857,1.4285714285714286,2.25,0,True,1
42,2023,18.0,Mujer,2.0,,,,4,3,2,4,3,1,4,5,3,4,2,3,4,4,5,5,4,4,3,3,5,4,1,2,1,2,1,4,3.142857142857143,3.4285714285714284,3.571428571428572,2.7142857142857144,3.2142857142857144,0,True,1
43,2023,19.0,Mujer,4.0,,,,3,5,5,3,1,1,1,5,3,1,5,5,1,3,1,1,1,5,1,5,5,5,3,1,3,5,1,5,2.7142857142857144,4.142857142857143,4.142857142857143,1.0,3.0,0,True,1
44,2023,19.0,Mujer,1.0,,,,3,4,3,3,2,3,3,5,1,3,3,3,3,2,1,3,3,4,4,3,5,2,3,2,3,3,1,5,2.857142857142857,3.571428571428572,2.7142857142857144,2.7142857142857144,2.9642857142857144,0,True,1
45,2023,18.0,Mujer,3.0,,,,4,4,4,5,4,5,4,4,4,4,4,3,3,4,4,3,4,5,3,5,5,4,4,3,4,4,3,5,3.7142857142857135,4.285714285714286,4.428571428571429,3.571428571428572,4.0,0,True,2
46,2023,19.0,Hombre,2.0,,,,3,3,3,2,4,2,1,5,5,3,4,4,2,1,4,1,2,5,3,1,5,3,2,1,3,3,1,4,2.571428571428572,4.0,2.857142857142857,2.0,2.857142857142857,0,True,1
47,2023,18.0,Mujer,1.0,,,,2,5,5,4,3,4,3,3,4,4,5,2,4,4,4,3,5,5,2,3,4,5,3,2,4,5,2,4,3.0,4.142857142857143,4.285714285714286,3.2857142857142856,3.678571428571429,0,True,2
48,2023,18.0,Mujer,1.0,,,,5,3,4,3,2,5,5,4,4,5,4,5,1,4,5,5,5,5,3,5,4,5,3,3,4,4,2,4,4.142857142857143,4.142857142857143,4.142857142857143,3.4285714285714284,3.964285714285715,0,True,2
49,2023,19.0,Hombre,2.0,,,,2,2,5,5,3,1,1,4,3,1,4,2,2,4,5,2,2,5,2,3,5,3,2,1,4,3,1,4,2.142857142857143,4.428571428571429,3.571428571428572,1.4285714285714286,2.892857142857143,0,True,2
50,2023,18.0,Hombre,4.0,,,,3,3,4,4,3,4,3,4,2,2,4,2,4,4,4,3,4,4,4,4,2,4,3,3,2,4,1,4,3.0,3.4285714285714284,3.571428571428572,3.142857142857143,3.2857142857142856,0,True,2
51,2023,18.0,Hombre,3.0,,,,5,3,5,1,3,5,3,4,2,3,5,5,3,3,2,4,4,5,2,2,4,1,3,2,3,4,1,2,3.857142857142857,3.571428571428572,2.4285714285714284,2.857142857142857,3.178571428571429,0,True,1
52,2023,23.0,Hombre,2.0,,,,3,4,4,2,2,1,4,3,4,3,4,4,2,3,3,2,2,5,3,2,3,4,3,1,4,3,1,3,3.0,3.4285714285714284,3.4285714285714284,1.8571428571428568,2.928571428571429,0,True,1
53,2023,18.0,Hombre,2.0,,,,5,4,4,2,4,3,4,3,4,1,4,4,3,3,3,5,5,4,3,4,4,5,4,3,1,2,3,3,4.0,3.142857142857143,3.7142857142857135,3.0,3.4642857142857144,0,True,2
54,2023,22.0,Hombre,2.0,,,,3,4,5,4,3,2,3,3,4,3,4,3,1,3,3,2,3,4,1,2,3,3,3,1,4,4,2,4,3.0,3.7142857142857135,3.4285714285714284,1.8571428571428568,3.0,0,True,1
55,2023,18.0,Hombre,0.0,,,,5,5,4,4,2,1,4,5,2,2,3,4,2,4,1,4,1,2,1,2,5,4,4,1,3,3,1,3,3.7142857142857135,3.4285714285714284,3.2857142857142856,1.2857142857142858,2.9285714285714284,0,True,2
56,2023,19.0,Mujer,2.0,,,,3,2,5,4,1,1,5,5,5,1,5,5,4,5,5,4,3,4,3,2,5,5,5,1,3,5,2,5,4.0,4.714285714285714,3.857142857142857,2.142857142857143,3.678571428571429,0,True,2
57,2023,19.0,Hombre,2.0,,,,3,3,5,4,3,2,3,4,3,2,4,3,3,4,4,1,1,5,3,2,4,3,3,2,3,3,3,4,2.7142857142857144,4.0,3.4285714285714284,2.2857142857142856,3.1071428571428568,0,True,1
58,2023,18.0,Mujer,1.0,,,,4,4,5,4,5,1,3,5,3,2,3,5,3,4,4,4,2,5,3,4,4,5,5,2,2,5,1,3,4.428571428571429,3.7142857142857135,4.142857142857143,2.0,3.571428571428571,0,True,2
59,2023,22.0,Hombre,2.0,,,,5,5,4,4,2,3,2,4,2,3,3,2,3,4,3,2,4,5,3,3,4,3,2,3,3,4,2,5,2.7142857142857144,3.7142857142857135,3.7142857142857135,3.0,3.2857142857142856,0,True,1
60,2023,18.0,Hombre,1.0,,,,4,4,4,3,4,1,3,3,3,3,3,2,2,3,3,5,2,4,2,2,4,2,4,2,2,4,2,3,3.7142857142857135,3.142857142857143,3.0,2.0,2.9642857142857144,0,True,1
61,2023,18.0,Hombre,2.0,,,,3,2,3,4,2,1,3,4,3,1,2,4,2,4,4,3,2,5,4,4,3,4,3,1,2,4,2,3,3.142857142857143,3.0,3.7142857142857135,1.8571428571428568,2.928571428571429,0,True,1
62,2023,18.0,Mujer,3.0,,,,4,4,5,5,3,1,3,5,4,1,5,4,1,3,5,1,2,5,1,1,5,3,4,1,5,4,1,5,3.2857142857142856,5.0,3.571428571428572,1.1428571428571428,3.25,0,True,2
63,2023,18.0,Mujer,0.0,,,,4,5,4,4,3,4,4,2,4,4,4,4,1,3,4,2,4,4,2,3,4,5,4,2,3,4,2,4,3.571428571428572,3.571428571428572,4.0,2.7142857142857144,3.4642857142857144,0,True,2
64,2023,18.0,Mujer,1.0,,,,2,2,5,4,2,2,3,4,2,1,4,4,3,4,4,1,3,5,3,2,3,3,2,1,2,3,1,2,2.4285714285714284,3.4285714285714284,3.142857142857143,2.0,2.75,0,True,1
65,2023,18.0,Hombre,3.0,,,,3,3,5,5,3,3,4,4,3,2,4,4,2,3,3,4,2,4,4,1,5,3,4,2,4,4,1,4,3.7142857142857135,4.142857142857143,3.142857142857143,2.2857142857142856,3.321428571428571,0,True,2
66,2023,18.0,Mujer,1.0,,,,5,3,5,2,1,2,3,3,3,4,3,5,2,2,3,4,3,5,4,4,3,4,2,2,2,4,1,2,3.4285714285714284,3.0,3.2857142857142856,2.571428571428572,3.071428571428572,0,True,1
67,2023,18.0,Hombre,3.0,,,,2,4,4,4,3,4,3,5,4,2,4,2,1,4,3,2,4,5,2,3,5,4,3,1,4,4,1,4,2.7142857142857144,4.142857142857143,4.0,2.142857142857143,3.25,0,True,1
68,2023,18.0,Mujer,2.0,,,,3,4,3,4,3,2,3,3,2,2,3,3,3,2,4,2,2,3,4,3,3,3,2,2,2,4,2,3,2.857142857142857,3.0,3.0,2.4285714285714284,2.821428571428572,0,True,1
69,2023,18.0,Mujer,4.0,,,,3,3,4,4,1,4,3,4,2,4,3,3,5,4,4,3,5,4,4,4,4,4,3,4,3,4,3,3,2.857142857142857,3.571428571428572,3.571428571428572,4.142857142857143,3.5357142857142856,0,True,2
70,2023,19.0,Mujer,3.0,,,,3,2,2,3,4,5,2,3,3,4,2,3,5,2,3,1,4,3,4,2,4,2,2,3,1,3,4,1,2.571428571428572,2.2857142857142856,2.4285714285714284,4.142857142857143,2.8571428571428577,0,True,1
71,2023,20.0,No binario,3.0,,,,3,4,3,2,2,3,3,4,3,3,4,3,3,3,3,2,4,3,4,3,3,3,2,4,3,2,2,2,2.4285714285714284,3.142857142857143,3.0,3.2857142857142856,2.9642857142857144,0,True,1
72,2023,18.0,Mujer,1.0,,,,4,2,4,3,2,2,3,4,3,2,3,4,3,3,3,2,3,4,3,3,4,2,3,1,2,3,1,3,3.0,3.2857142857142856,2.857142857142857,2.142857142857143,2.821428571428571,0,True,1
73,2023,22.0,Hombre,2.0,,,,4,5,4,4,1,2,4,4,3,1,4,4,2,4,5,3,2,5,3,3,5,4,2,1,4,2,2,4,2.857142857142857,4.285714285714286,4.0,1.8571428571428568,3.25,0,True,1
74,2023,20.0,Mujer,1.0,,,,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,2,4,4,3,4,4,4,3,4,3,4,3,4,3.4285714285714284,3.7142857142857135,4.0,3.571428571428572,3.678571428571429,0,True,2
75,2023,18.0,Mujer,1.0,,,,2,2,4,4,1,2,4,4,3,1,3,5,4,5,5,2,2,5,4,2,3,3,2,1,3,2,1,3,2.571428571428572,3.571428571428572,3.4285714285714284,2.142857142857143,2.9285714285714284,0,True,1
76,2023,19.0,Hombre,0.0,,,,4,2,3,4,2,4,3,2,2,3,2,4,3,4,4,2,1,3,3,3,3,1,2,3,1,2,2,2,2.7142857142857144,2.4285714285714284,2.7142857142857144,2.7142857142857144,2.642857142857143,0,True,1
77,2023,19.0,Hombre,2.0,,,,2,2,5,3,1,2,3,4,2,2,4,4,2,3,5,1,3,4,3,1,4,1,1,1,4,1,1,4,1.8571428571428568,4.285714285714286,2.2857142857142856,2.0,2.6071428571428568,0,True,1
78,2023,20.0,Mujer,2.0,,,,3,5,4,5,3,3,4,4,3,3,4,2,2,5,4,1,4,5,2,4,4,4,2,2,1,2,2,2,2.4285714285714284,3.2857142857142856,4.428571428571429,2.571428571428572,3.1785714285714284,0,True,1
79,2023,23.0,Hombre,3.0,,,,2,3,5,5,3,3,2,5,4,2,4,4,1,5,5,2,1,5,2,1,5,2,4,1,4,4,2,5,3.0,4.714285714285714,3.571428571428572,1.7142857142857142,3.25,0,True,2
80,2023,21.0,Hombre,2.0,,,,4,3,3,2,3,2,4,3,3,3,3,4,3,3,4,2,3,3,3,2,3,3,3,2,3,4,2,3,3.4285714285714284,3.142857142857143,2.7142857142857144,2.571428571428572,2.964285714285714,0,True,1
81,2023,18.0,Mujer,2.0,,,,3,4,5,3,4,3,4,5,3,2,5,3,3,2,4,1,5,4,1,3,5,3,3,1,3,2,1,4,2.857142857142857,4.428571428571429,3.142857142857143,2.2857142857142856,3.178571428571429,0,True,1
82,2023,19.0,Mujer,2.0,,,,3,4,4,4,3,4,2,4,4,3,4,3,3,4,4,4,4,3,3,4,4,4,3,4,2,3,2,4,3.0,3.7142857142857135,3.857142857142857,3.2857142857142856,3.4642857142857144,0,True,2
83,2023,18.0,Hombre,2.0,,,,5,3,1,2,2,2,2,3,2,2,3,2,1,2,3,4,2,4,2,1,4,1,5,1,3,3,1,4,3.2857142857142856,3.0,2.142857142857143,1.5714285714285714,2.5,0,True,1
84,2023,20.0,Mujer,3.0,,,,4,4,4,3,4,3,3,4,5,2,4,4,3,3,3,4,3,4,3,3,4,2,4,3,3,5,3,4,4.0,3.7142857142857135,3.4285714285714284,2.857142857142857,3.5,0,True,2
85,2023,18.0,Hombre,5.0,,,,3,5,4,4,4,2,3,4,3,3,5,5,3,5,3,5,3,3,3,4,3,3,3,3,3,3,3,3,3.7142857142857135,3.571428571428572,3.857142857142857,2.857142857142857,3.5000000000000004,0,True,2
86,2023,19.0,Hombre,3.0,,,,3,3,3,2,2,3,2,4,2,3,2,3,2,2,2,1,2,4,5,3,4,4,4,2,2,2,1,3,2.4285714285714284,2.857142857142857,2.857142857142857,2.571428571428572,2.6785714285714284,0,True,1
87,2023,18.0,Hombre,4.0,,,,4,4,5,4,5,4,3,5,4,3,5,5,2,5,5,5,3,5,2,4,5,5,5,2,4,5,1,5,4.571428571428571,4.857142857142857,4.428571428571429,2.4285714285714284,4.071428571428571,0,True,2
88,2023,18.0,Hombre,1.0,,,,3,2,4,4,2,1,4,4,3,2,3,4,3,4,4,3,2,5,4,2,4,3,3,2,3,4,1,3,3.2857142857142856,3.571428571428572,3.2857142857142856,2.142857142857143,3.071428571428571,0,True,1
89,2023,18.0,Mujer,2.0,,,,4,3,3,3,3,5,2,4,3,2,3,2,2,2,2,4,2,4,2,5,2,3,2,4,2,3,2,4,2.857142857142857,2.857142857142857,3.2857142857142856,2.7142857142857144,2.928571428571429,0,True,1
90,2023,18.0,Hombre,1.0,,,,5,3,5,5,4,2,4,5,4,4,4,2,2,4,5,4,4,5,3,4,4,5,5,1,5,5,3,5,4.142857142857143,4.714285714285714,4.285714285714286,2.7142857142857144,3.9642857142857135,0,True,2
91,2023,18.0,Hombre,3.0,,,,5,3,4,4,2,4,3,4,2,4,4,3,2,3,4,3,4,4,3,4,4,4,3,3,3,3,2,4,3.142857142857143,3.857142857142857,3.4285714285714284,3.142857142857143,3.392857142857143,0,True,2
92,2023,17.0,Hombre,1.0,,,,4,3,3,3,2,5,1,5,2,1,4,2,2,3,4,2,2,3,3,4,3,2,2,2,3,3,2,5,2.2857142857142856,3.857142857142857,2.857142857142857,2.4285714285714284,2.857142857142857,0,True,1
93,2023,18.0,Hombre,1.0,,,,5,2,3,1,5,5,5,3,3,3,4,4,3,2,3,4,4,4,4,4,3,4,4,4,3,5,3,2,4.571428571428571,3.0,2.857142857142857,3.7142857142857135,3.5357142857142856,0,True,2
94,2023,19.0,Hombre,3.0,,,,5,3,5,2,3,3,3,4,3,4,4,2,4,3,4,3,4,5,4,4,4,5,4,1,4,4,1,5,3.4285714285714284,4.285714285714286,3.571428571428572,3.0,3.571428571428571,0,True,2
95,2023,19.0,Hombre,1.0,,,,4,1,3,3,3,4,1,3,3,1,4,3,3,3,1,3,3,3,2,1,4,2,3,1,3,3,1,3,2.857142857142857,3.0,2.2857142857142856,2.142857142857143,2.571428571428571,0,True,1
96,2023,18.0,Hombre,2.0,,,,5,4,4,4,5,4,3,4,4,4,5,2,3,2,4,5,4,4,3,4,4,4,3,2,4,5,1,5,4.0,4.285714285714286,3.7142857142857135,3.0,3.75,0,True,2
97,2023,21.0,Mujer,1.0,,,,4,3,5,5,4,3,3,1,4,1,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.2857142857142856,3.142857142857143,3.4285714285714284,2.7142857142857144,3.1428571428571432,0,True,2
98,2023,18.0,NR,2.0,,,,5,4,2,2,3,2,4,5,5,3,4,1,1,2,4,4,4,4,2,3,5,3,2,2,4,2,2,5,3.0,4.142857142857143,3.2857142857142856,2.2857142857142856,3.178571428571429,0,True,1
99,2023,18.0,Mujer,1.0,,,,2,4,5,5,4,2,4,3,2,1,4,5,3,5,5,2,2,5,4,2,4,3,4,2,3,5,1,4,3.7142857142857135,4.0,3.7142857142857135,2.142857142857143,3.392857142857143,0,True,2
100,2023,20.0,Mujer,2.0,,,,3,5,5,5,3,2,5,5,4,1,4,5,5,5,4,4,4,5,4,4,4,4,3,2,3,4,2,2,3.857142857142857,3.857142857142857,4.571428571428571,2.857142857142857,3.7857142857142856,0,True,2
101,2023,18.0,Mujer,4.0,,,,3,4,4,5,3,2,3,4,5,1,4,3,2,4,3,2,2,5,3,3,3,3,3,2,3,2,2,4,2.7142857142857144,3.571428571428572,4.142857142857143,2.0,3.1071428571428577,0,True,1
102,2023,18.0,Mujer,4.0,,,,3,2,4,4,5,3,5,3,2,3,3,5,4,4,4,4,4,4,4,2,3,4,4,2,3,5,1,3,4.428571428571429,3.2857142857142856,3.142857142857143,3.0,3.4642857142857144,0,True,2
103,2023,22.0,Mujer,2.0,,,,5,4,2,2,2,4,2,3,2,2,2,3,2,3,5,4,5,5,3,4,5,4,4,1,2,5,2,5,3.571428571428572,3.4285714285714284,3.4285714285714284,2.7142857142857144,3.2857142857142856,0,True,2
104,2023,18.0,Mujer,1.0,,,,4,3,4,2,4,1,3,4,4,3,4,2,3,3,5,2,2,5,3,2,4,3,2,3,1,2,2,3,2.7142857142857144,3.571428571428572,3.142857142857143,2.4285714285714284,2.9642857142857144,0,True,1
105,2023,18.0,Mujer,2.0,,,,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,5,5,1,4,4,2,4,4.142857142857143,3.571428571428572,3.7142857142857135,3.0,3.6071428571428577,0,True,2
106,2023,18.0,Mujer,3.0,,,,2,3,4,5,2,2,2,4,4,3,4,4,3,3,4,1,1,4,2,2,4,2,2,2,3,2,1,4,2.142857142857143,3.857142857142857,3.2857142857142856,2.0,2.821428571428571,0,True,1
107,2023,18.0,Hombre,2.0,,,,4,2,5,4,2,2,4,4,3,2,2,4,2,4,5,5,2,4,3,2,4,2,4,1,2,1,1,3,3.4285714285714284,3.571428571428572,3.0,1.8571428571428568,2.9642857142857144,0,True,1
108,2023,19.0,Mujer,0.0,,,,5,2,2,1,5,3,5,5,1,3,5,5,4,1,1,4,5,5,3,1,5,3,5,2,1,5,2,5,4.857142857142857,3.4285714285714284,2.0,3.142857142857143,3.3571428571428568,0,True,1
109,2023,18.0,Hombre,1.0,,,,4,4,1,3,2,3,3,3,3,4,3,3,2,4,3,3,3,4,5,2,3,3,2,3,3,3,3,3,2.857142857142857,2.7142857142857144,3.2857142857142856,3.2857142857142856,3.0357142857142856,0,True,1
110,2023,28.0,Hombre,3.0,,,,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.142857142857143,3.0,3.0,3.0357142857142856,0,True,1
111,2023,18.0,Hombre,4.0,,,,3,3,4,5,3,2,2,5,4,2,4,3,3,4,4,3,3,4,3,2,4,2,3,2,3,3,2,3,2.857142857142857,3.857142857142857,3.4285714285714284,2.4285714285714284,3.142857142857143,0,True,1
