f_FS_mean,f_PT_mean,f_EC_mean,f_PD_mean,f_IRI_total
0.18749999999999972,0.7142857142857142,0.5,0.33333333333333337,0.40909090909090917
0.5,0.6428571428571428,0.4285714285714288,0.33333333333333337,0.4772727272727276
0.12499999999999988,0.4166666666666667,0.28571428571428564,0.5555555555555555,0.2954545454545454
0.6249999999999999,0.6428571428571428,0.21428571428571425,0.5,0.4999999999999997
0.5,0.7142857142857142,0.28571428571428564,0.16666666666666663,0.4090909090909089
0.9375000000000006,0.8571428571428574,0.7,0.5,0.8043478260869563
0.3124999999999998,0.16666666666666657,0.07142857142857127,0.08333333333333331,0.09090909090909112
0.43749999999999967,0.4166666666666667,0.4285714285714288,0.33333333333333337,0.38636363636363624
0.3749999999999997,0.9285714285714282,0.99,0.16666666666666663,0.608695652173913
0.43749999999999967,0.9285714285714282,0.4285714285714288,0.33333333333333337,0.5434782608695651
0.6875,0.7142857142857142,0.6,0.8333333333333331,0.7826086956521738
0.43749999999999967,0.7142857142857142,0.7,0.2499999999999998,0.5217391304347825
0.6249999999999999,0.5,0.7,0.7222222222222221,0.6739130434782611
0.5,0.5,0.8,0.99,0.7608695652173912
0.5,0.5,0.14285714285714288,0.08333333333333331,0.27272727272727276
0.6249999999999999,0.24999999999999986,0.4285714285714288,0.4166666666666667,0.4318181818181818
0.6249999999999999,0.5,0.28571428571428564,0.6666666666666666,0.5434782608695653
0.24999999999999986,0.4166666666666667,0.7,0.16666666666666663,0.340909090909091
0.6875,0.24999999999999986,0.99,0.6111111111111114,0.6739130434782609
0.5,0.4166666666666667,0.5,0.6111111111111114,0.5217391304347825
0.5624999999999999,0.7142857142857142,0.6,0.16666666666666663,0.5217391304347825
0.43749999999999967,0.6428571428571428,0.4285714285714288,0.01,0.3636363636363636
0.3749999999999997,0.4166666666666667,0.21428571428571425,0.2499999999999998,0.27272727272727276
0.8750000000000001,0.24999999999999986,0.6,0.08333333333333331,0.47727272727272707
0.6249999999999999,0.5714285714285714,0.35714285714285704,0.6111111111111114,0.5652173913043479
0.9375000000000006,0.24999999999999986,0.4285714285714288,0.4166666666666667,0.5434782608695651
0.43749999999999967,0.16666666666666657,0.35714285714285704,0.01,0.20454545454545459
0.5,0.7857142857142856,0.28571428571428564,0.2499999999999998,0.4545454545454544
0.5,0.3333333333333337,0.9,0.8333333333333331,0.6739130434782609
0.12499999999999988,0.08333333333333329,0.07142857142857127,0.08333333333333331,0.01
0.5624999999999999,0.6428571428571428,0.21428571428571425,0.2499999999999998,0.40909090909090917
0.43749999999999967,0.01,0.8,0.4166666666666667,0.38636363636363624
0.5,0.7857142857142856,0.5,0.6111111111111114,0.630434782608696
0.43749999999999967,0.16666666666666657,0.6,0.16666666666666663,0.31818181818181807
0.43749999999999967,0.3333333333333337,0.4285714285714288,0.7222222222222221,0.5
0.43749999999999967,0.08333333333333329,0.4285714285714288,0.7222222222222221,0.4318181818181818
0.24999999999999986,0.4166666666666667,0.8,0.6111111111111114,0.5
0.3749999999999997,0.3333333333333337,0.35714285714285704,0.16666666666666663,0.27272727272727276
0.18749999999999972,0.5714285714285714,0.5,0.16666666666666663,0.3181818181818186
0.5624999999999999,0.5714285714285714,0.7,0.8333333333333331,0.7173913043478262
