respondent_id,year,age,gender,ses,AC1,AC2,AC3,FS1,EC2,PT3,EC4,FS5,PD6,FS7,PT8,EC9,PD10,PT11,FS12,PD13,EC14,PT15,FS16,PD17,EC18,PD19,EC20,PT21,EC22,FS23,PD24,PT25,FS26,PD27,PT28,FS_mean,PT_mean,EC_mean,PD_mean,IRI_total,qc_fail_count,md_score,is_outlier
440,2023,18.0,1.0,3.0,,,,5,4,3,4,4,5,2,4,3,3,4,2,3,3,3,4,4,5,3,4,4,3,3,3,4,4,3,3,3.4285714285714284,3.5714285714285716,3.7142857142857144,3.4285714285714284,3.535714285714286,0,4.025301229974265,False
441,2023,18.0,2.0,1.0,,,,5,5,5,5,5,3,3,5,5,3,5,5,5,3,2,5,3,5,3,2,4,3,4,2,5,3,3,5,4.285714285714286,4.428571428571429,4.0,3.142857142857143,3.9642857142857144,0,6.18014599342039,False
442,2023,21.0,1.0,2.0,,,,1,5,2,2,3,2,3,3,4,3,3,3,4,4,3,3,5,5,1,5,4,3,3,2,3,2,1,3,2.5714285714285716,3.0,4.0,2.5714285714285716,3.0357142857142856,0,6.781338355037751,False
443,2023,20.0,1.0,1.0,,,,3,5,2,5,5,3,2,2,3,5,5,1,5,5,2,5,5,5,3,5,1,5,4,5,1,4,4,4,3.4285714285714284,2.4285714285714284,4.714285714285714,4.285714285714286,3.7142857142857144,0,7.699758966289585,True
444,2023,19.0,2.0,1.0,,,,2,2,5,5,2,3,4,4,4,4,4,5,4,3,4,1,2,5,3,2,4,5,1,2,2,2,1,3,2.4285714285714284,3.7142857142857144,3.7142857142857144,2.7142857142857144,3.1428571428571432,0,5.167848769149238,False
445,2023,19.0,1.0,3.0,,,,3,3,5,4,3,2,3,4,2,2,2,4,2,3,3,3,2,5,3,2,4,3,3,1,1,1,1,1,2.857142857142857,2.857142857142857,3.142857142857143,1.8571428571428572,2.678571428571429,0,4.4590508563871865,False
446,2023,18.0,1.0,1.0,,,,1,2,5,4,1,1,5,3,3,2,1,5,2,3,3,1,1,5,2,1,4,1,1,1,3,3,1,3,2.4285714285714284,3.142857142857143,2.7142857142857144,1.4285714285714286,2.4285714285714284,0,5.599701856203885,False
447,2023,18.0,1.0,3.0,,,,5,4,4,4,3,2,4,4,4,2,4,3,1,3,4,4,4,5,2,2,5,4,4,1,3,3,1,4,3.7142857142857144,4.0,3.7142857142857144,1.8571428571428572,3.3214285714285716,0,4.364404858655514,False
448,2023,19.0,1.0,3.0,,,,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.142857142857143,3.0,3.0,3.0357142857142856,0,2.3330382923829114,False
449,2023,19.0,1.0,2.0,,,,4,3,4,3,2,5,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.0,3.142857142857143,2.857142857142857,3.2857142857142856,3.071428571428571,0,3.4572510516924,False
450,2023,20.0,1.0,2.0,,,,3,2,4,3,3,2,2,4,3,1,4,4,2,3,2,1,2,4,2,2,4,1,4,1,3,2,1,3,2.7142857142857144,3.4285714285714284,2.5714285714285716,1.5714285714285714,2.571428571428571,0,4.527283353368309,False
451,2023,18.0,2.0,1.0,,,,5,5,3,5,5,1,3,4,1,5,2,5,1,1,1,5,1,4,1,5,1,3,5,1,1,5,1,1,4.714285714285714,1.8571428571428572,3.4285714285714284,1.5714285714285714,2.892857142857143,0,8.765277623434956,True
452,2023,21.0,2.0,2.0,,,,4,3,5,5,5,4,4,4,4,3,4,4,5,5,3,5,3,5,3,2,4,5,5,2,3,4,1,3,4.428571428571429,3.7142857142857144,4.142857142857143,3.0,3.821428571428571,0,4.873911225987165,False
453,2023,24.0,1.0,3.0,,,,5,5,3,4,1,4,1,4,4,2,4,5,1,5,1,1,1,5,1,5,5,4,2,1,4,5,3,5,2.857142857142857,3.7142857142857144,4.571428571428571,1.8571428571428572,3.25,0,7.4788136109953065,False
454,2023,22.0,1.0,1.0,,,,2,2,3,4,1,1,4,3,2,1,2,3,3,4,1,2,2,5,4,3,2,1,2,2,2,1,1,4,2.142857142857143,2.4285714285714284,3.0,2.0,2.392857142857143,0,5.086521661803572,False
455,2023,19.0,1.0,2.0,,,,2,3,5,2,1,3,2,5,2,4,4,3,4,4,4,1,4,5,3,2,4,3,1,2,3,1,1,4,1.5714285714285714,4.142857142857143,3.0,3.0,2.928571428571429,0,5.104951961090376,False
456,2023,19.0,1.0,0.0,,,,1,2,4,5,1,3,3,2,3,1,2,5,3,5,4,2,3,5,4,2,2,2,2,1,2,2,2,5,2.2857142857142856,3.0,3.4285714285714284,2.4285714285714284,2.7857142857142856,0,5.244618833942442,False
457,2023,19.0,2.0,2.0,,,,1,2,5,2,1,1,5,5,5,2,5,5,1,3,5,1,2,4,2,2,5,1,3,1,5,1,1,5,2.4285714285714284,5.0,2.7142857142857144,1.4285714285714286,2.892857142857143,0,6.4254373876577375,False
458,2023,22.0,2.0,0.0,,,,2,5,4,4,4,4,3,3,2,5,4,3,4,4,3,4,5,5,3,4,4,5,5,2,5,4,2,5,3.5714285714285716,4.0,4.142857142857143,3.5714285714285716,3.8214285714285716,0,5.5094773006103015,False
459,2023,19.0,1.0,2.0,,,,2,3,4,4,2,4,3,4,3,2,3,4,2,2,4,2,3,4,3,2,3,2,2,2,2,1,2,4,2.2857142857142856,3.4285714285714284,2.857142857142857,2.5714285714285716,2.7857142857142856,0,3.990460414985422,False
460,2023,18.0,1.0,0.0,,,,3,4,1,5,1,2,3,4,1,1,4,4,1,1,3,1,1,5,3,3,1,3,1,1,3,2,1,5,2.142857142857143,3.0,3.142857142857143,1.4285714285714286,2.4285714285714284,0,7.849078541307605,True
461,2023,18.0,2.0,2.0,,,,2,2,4,4,3,2,4,3,2,1,2,4,4,4,5,2,2,5,5,2,2,2,2,1,2,2,1,2,2.7142857142857144,2.857142857142857,3.0,2.2857142857142856,2.7142857142857144,0,3.7139726931812467,False
462,2023,18.0,1.0,2.0,,,,4,3,4,4,2,4,2,3,3,3,4,4,3,4,3,3,4,2,3,3,2,2,2,2,3,3,2,4,2.857142857142857,3.2857142857142856,3.0,3.0,3.0357142857142856,0,4.66955285855091,False
463,2023,18.0,1.0,4.0,,,,3,4,3,4,1,2,2,2,3,5,2,2,4,5,4,2,4,4,2,2,3,2,2,2,3,4,2,3,2.2857142857142856,2.857142857142857,3.4285714285714284,3.0,2.892857142857143,0,5.846263476729222,False
464,2023,18.0,2.0,4.0,,,,4,5,5,5,4,2,3,5,5,3,5,4,3,5,5,4,4,5,3,4,5,3,3,1,5,5,1,5,3.857142857142857,5.0,4.571428571428571,2.4285714285714284,3.9642857142857144,0,4.496678444801249,False
465,2023,18.0,2.0,2.0,,,,3,4,4,4,2,3,2,4,4,3,4,5,3,4,4,1,2,5,3,2,4,4,3,2,2,3,1,2,2.7142857142857144,3.4285714285714284,3.857142857142857,2.4285714285714284,3.107142857142857,0,3.9983791779707816,False
466,2023,19.0,1.0,0.0,,,,3,5,3,1,4,2,4,2,5,3,3,3,1,3,3,4,4,2,3,3,3,3,3,3,4,4,3,3,3.5714285714285716,3.0,3.142857142857143,2.7142857142857144,3.1071428571428568,0,6.256170214593014,False
467,2023,18.0,1.0,1.0,,,,3,3,3,4,2,1,3,4,4,3,4,4,3,4,1,5,3,4,2,3,4,2,5,2,2,4,2,5,3.7142857142857144,3.2857142857142856,3.4285714285714284,2.2857142857142856,3.178571428571429,0,5.065555251499398,False
468,2023,19.0,2.0,2.0,,,,3,1,5,4,1,3,2,4,1,4,4,3,5,5,4,4,2,4,2,2,4,1,3,3,1,4,1,2,2.857142857142857,3.4285714285714284,2.5714285714285716,2.857142857142857,2.928571428571429,0,7.145930039128877,False
469,2023,19.0,1.0,1.0,,,,5,5,4,4,5,4,4,5,5,5,5,4,1,2,4,5,3,5,1,5,5,5,5,3,2,5,3,5,4.714285714285714,4.285714285714286,4.428571428571429,2.857142857142857,4.071428571428571,0,5.373857673608895,False
470,2023,21.0,2.0,1.0,,,,3,5,5,4,5,1,3,4,5,3,5,5,3,5,4,4,2,5,2,2,4,3,5,2,4,4,2,5,4.142857142857143,4.428571428571429,4.142857142857143,2.142857142857143,3.7142857142857144,0,4.517482991034602,False
471,2023,29.0,2.0,0.0,,,,4,4,4,4,1,4,3,3,3,2,4,4,2,4,4,2,3,4,3,3,3,3,3,2,2,3,2,3,2.857142857142857,3.2857142857142856,3.5714285714285716,2.5714285714285716,3.071428571428571,0,3.5423284685415544,False
472,2023,22.0,1.0,2.0,,,,4,4,4,2,1,3,2,4,4,4,4,2,2,2,2,4,4,2,2,4,5,4,4,4,4,4,4,4,3.0,3.857142857142857,3.142857142857143,3.2857142857142856,3.321428571428571,0,4.933449961636964,False
473,2023,18.0,2.0,1.0,,,,2,3,4,4,3,4,4,3,4,3,4,3,2,4,4,3,3,4,4,2,3,2,2,2,3,4,2,4,3.0,3.5714285714285716,3.2857142857142856,2.857142857142857,3.178571428571429,0,4.100093541477138,False
474,2023,18.0,2.0,0.0,,,,4,3,3,3,4,3,4,4,3,3,2,5,3,4,2,3,4,5,4,3,3,3,3,2,2,4,3,2,3.857142857142857,2.5714285714285716,3.4285714285714284,3.142857142857143,3.25,0,4.349180439543847,False
475,2023,21.0,1.0,3.0,,,,5,4,4,2,4,3,3,4,2,3,4,3,3,3,3,4,3,3,3,4,3,4,4,3,3,4,3,3,3.857142857142857,3.4285714285714284,3.142857142857143,3.0,3.357142857142857,0,3.759349898027724,False
476,2023,18.0,1.0,1.0,,,,4,4,3,2,2,3,3,4,3,2,5,2,3,3,4,2,2,4,4,3,4,3,3,3,2,5,2,3,3.0,3.5714285714285716,3.142857142857143,2.7142857142857144,3.1071428571428568,0,4.674119330428835,False
477,2023,18.0,1.0,3.0,,,,4,2,5,2,1,4,2,5,5,3,5,2,3,3,3,1,2,5,3,5,5,4,3,3,4,3,2,4,2.2857142857142856,4.428571428571429,3.7142857142857144,2.857142857142857,3.3214285714285716,0,5.634628388085211,False
478,2023,20.0,1.0,3.0,,,,5,2,3,3,3,4,3,2,3,3,3,4,3,3,2,4,3,4,3,3,3,4,2,2,2,3,3,2,3.4285714285714284,2.4285714285714284,3.142857142857143,3.0,3.0,0,4.5361558829483455,False
479,2023,21.0,1.0,0.0,,,,1,4,3,5,1,3,2,4,5,2,5,3,1,5,5,2,2,5,1,3,4,1,2,1,4,3,1,5,2.0,4.285714285714286,4.0,1.5714285714285714,2.964285714285714,0,5.484313034513509,False
480,2023,18.0,1.0,2.0,,,,2,4,4,4,3,1,1,5,3,2,4,4,2,4,5,2,2,5,3,1,5,2,3,1,5,4,1,5,2.7142857142857144,4.714285714285714,3.2857142857142856,1.7142857142857142,3.107142857142857,0,4.38471557686933,False
481,2023,25.0,2.0,2.0,,,,4,4,4,1,4,5,4,5,4,5,5,4,2,4,5,3,5,4,3,4,5,5,4,4,4,4,3,4,3.857142857142857,4.571428571428571,3.7142857142857144,3.857142857142857,4.0,0,5.074803690229196,False
482,2023,18.0,1.0,2.0,,,,2,3,4,4,1,3,3,4,3,1,3,4,2,3,5,4,1,4,2,3,2,1,1,1,3,4,1,3,2.7142857142857144,3.4285714285714284,3.0,1.5714285714285714,2.6785714285714284,0,5.496227548327434,False
483,2023,18.0,2.0,1.0,,,,1,5,5,4,2,2,1,5,2,2,5,4,4,4,5,1,2,5,4,1,5,2,4,1,4,1,1,4,2.0,4.714285714285714,3.2857142857142856,2.2857142857142856,3.071428571428571,0,6.368936591611809,False
484,2023,18.0,2.0,1.0,,,,5,5,4,4,3,5,4,4,5,3,4,4,4,4,3,4,5,4,3,4,4,5,4,4,3,3,2,4,3.857142857142857,3.7142857142857144,4.428571428571429,3.7142857142857144,3.928571428571429,0,4.1528103060351835,False
485,2023,20.0,1.0,2.0,,,,3,4,4,4,1,1,4,4,1,2,4,3,2,1,4,1,1,5,2,2,3,2,3,1,2,4,1,5,2.7142857142857144,3.7142857142857144,2.7142857142857144,1.4285714285714286,2.642857142857143,0,5.803701961144055,False
486,2023,18.0,2.0,4.0,,,,2,3,5,5,3,2,5,5,4,2,5,5,4,4,4,2,4,5,4,2,3,5,4,3,2,3,2,2,3.4285714285714284,3.7142857142857144,4.0,3.0,3.5357142857142856,0,5.285129788553886,False
487,2023,19.0,1.0,0.0,,,,2,2,2,3,4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,2,3,3.0,2.857142857142857,2.7142857142857144,2.7142857142857144,2.821428571428572,0,3.4324488125375248,False
488,2023,24.0,2.0,1.0,,,,4,3,4,3,3,2,4,5,2,1,2,4,2,3,5,3,3,5,2,1,5,1,3,1,3,3,1,3,3.4285714285714284,3.857142857142857,2.5714285714285716,1.7142857142857142,2.892857142857143,0,5.026297315426184,False
489,2023,19.0,1.0,0.0,,,,5,5,5,4,5,5,5,4,3,5,4,5,3,5,2,1,4,5,3,1,5,5,5,2,3,3,3,1,4.142857142857143,3.4285714285714284,4.0,3.5714285714285716,3.7857142857142856,0,7.710668328352828,True
490,2023,18.0,1.0,2.0,,,,1,1,5,4,1,1,3,4,2,1,3,4,1,3,4,1,1,5,3,1,3,1,1,1,3,4,1,3,2.142857142857143,3.5714285714285716,2.4285714285714284,1.2857142857142858,2.357142857142857,0,4.449228455911214,False
491,2023,21.0,2.0,2.0,,,,5,4,5,5,2,3,2,5,5,3,5,3,5,5,4,4,5,5,3,4,5,5,3,2,4,3,1,5,3.142857142857143,4.714285714285714,4.714285714285714,3.142857142857143,3.928571428571429,0,5.0300572529466425,False
492,2023,20.0,1.0,1.0,,,,2,2,5,4,1,2,3,4,2,2,2,5,4,5,4,2,1,5,3,2,3,2,2,1,2,2,1,2,2.4285714285714284,3.142857142857143,3.142857142857143,2.0,2.6785714285714284,0,3.844326983269116,False
493,2023,18.0,2.0,1.0,,,,3,5,4,5,4,3,3,5,4,2,5,5,3,5,4,3,4,5,3,4,5,5,3,2,4,4,3,5,3.5714285714285716,4.571428571428571,4.714285714285714,2.857142857142857,3.928571428571429,0,3.721499448532582,False
494,2023,18.0,1.0,1.0,,,,2,2,4,4,1,3,2,4,3,3,3,3,3,3,5,2,2,5,2,2,4,3,2,1,3,2,1,3,2.0,3.7142857142857144,3.142857142857143,2.142857142857143,2.75,0,3.6745193648356174,False
495,2023,22.0,1.0,1.0,,,,4,4,4,3,4,4,3,3,2,3,2,3,3,2,3,4,5,4,3,4,3,5,4,2,3,3,2,3,3.5714285714285716,3.0,3.4285714285714284,3.142857142857143,3.2857142857142856,0,4.579889426496442,False
496,2023,18.0,1.0,1.0,,,,4,4,5,3,3,2,2,5,4,2,5,2,2,4,5,4,3,5,2,4,5,4,4,1,4,4,1,4,3.2857142857142856,4.714285714285714,4.0,1.8571428571428572,3.4642857142857144,0,4.031107138425137,False
497,2023,18.0,2.0,2.0,,,,5,3,4,5,3,2,2,4,4,4,4,5,2,4,5,4,2,5,3,4,4,5,4,2,4,3,2,4,3.7142857142857144,4.142857142857143,4.285714285714286,2.4285714285714284,3.642857142857143,0,4.595462352082454,False
498,2023,18.0,2.0,2.0,,,,2,2,5,5,2,2,3,3,3,1,5,5,3,4,5,2,3,5,4,2,5,3,3,2,3,3,2,3,2.857142857142857,4.142857142857143,3.4285714285714284,2.4285714285714284,3.2142857142857144,0,4.464575647159539,False
